source,target,capacity,strength,type
TEL_Fleet,TEL_Battery,100,0.62,intra
TEL_Fleet,TEL_Thermal,100,0.60,intra
TEL_Fleet,TEL_Sensors,100,0.55,intra
TEL_Battery,TEL_Thermal,100,0.50,intra
CHG_Points,CHG_Sessions,100,0.65,intra
CHG_Points,CHG_Grid,100,0.58,intra
CHG_Sessions,CHG_Grid,100,0.52,intra
BKD_API,BKD_Queue,100,0.66,intra
BKD_API,BKD_Services,100,0.62,intra
BKD_Queue,BKD_Services,100,0.55,intra
OTA_Rollout,OTA_Firmware,100,0.60,intra
OTA_Rollout,OTA_Rollback,100,0.50,intra
OTA_Firmware,OTA_Rollback,100,0.45,intra
WRK_Capacity,WRK_Diagnosis,100,0.58,intra
WRK_Capacity,WRK_Parts,100,0.52,intra
WRK_Diagnosis,WRK_Parts,100,0.48,intra
TEL_Thermal,CHG_Sessions,100,0.70,bridge
CHG_Sessions,BKD_API,100,0.70,bridge
BKD_Services,OTA_Rollout,100,0.65,bridge
OTA_Rollout,WRK_Capacity,100,0.60,bridge
OTA_Firmware,TEL_Sensors,100,0.55,bridge
WRK_Capacity,TEL_Fleet,100,0.50,bridge
