id,type,space,cluster,supply,demand,capacity,fin_capacity,econ_output
Cloud_Hyperscaler,hub,digital,Cloud,85,65,115,0,0
Identity_Provider,hub,digital,Security,80,58,105,0,0
API_Gateway,transit,digital,Platform,65,58,90,0,0
Payment_Switch,transit,digital,Payments,70,62,95,0,0
Data_Platform,consumer,digital,Platform,50,70,85,0,0
Security_Operations,transit,digital,Security,60,55,85,0,0
Backup_Recovery,consumer,digital,Resilience,45,55,80,0,0
ECB_Operations,producer,financial,Policy,100,20,110,100,0
Eurozone_Banks,hub,financial,Banking,85,72,115,95,0
Payment_Systems,hub,financial,Payments,80,65,105,88,0
Capital_Markets,consumer,financial,Markets,55,75,90,72,0
Investment_Funds,consumer,financial,Markets,50,68,85,68,0
Insurance_Sector,consumer,financial,Banking,48,62,82,65,0
Market_Confidence,consumer,financial,Sentiment,40,65,78,58,0
DE_Economy,hub,economic,Country,88,72,115,0,92
FR_Economy,consumer,economic,Country,72,68,100,0,82
IT_Economy,consumer,economic,Country,58,72,85,0,68
ES_NL_Economy,consumer,economic,Country,62,70,88,0,72
SME_Sector,consumer,economic,Sectors,42,68,75,0,58
Public_Services,consumer,economic,Sectors,48,62,80,0,60
