id,type,space,cluster,supply,demand,capacity,importance
API_Gateway,hub,api,API,120,100,145,1.6
API_Auth,control,api,API,110,100,130,1.3
API_Quote,relay,api,API,110,100,128,1.2
API_Policy,relay,api,API,110,100,130,1.3
API_Claims,relay,api,API,115,100,132,1.4
INFRA_Compute,hub,infra,Infra,125,100,150,1.6
INFRA_DB,sink,infra,Infra,115,100,135,1.4
INFRA_Network,relay,infra,Infra,118,100,138,1.2
INFRA_Cache,relay,infra,Infra,112,100,128,1.0
BIZ_Onboarding,source,business,Business,110,100,130,1.3
BIZ_Underwriting,hub,business,Business,120,100,142,1.5
BIZ_Payment,relay,business,Business,112,100,130,1.2
BIZ_Support,sink,business,Business,110,100,126,1.1
