source,target,capacity,strength,type
ECB_Backstop,DE_Banks,95,0.92,policy_support
ECB_Backstop,IT_Banks,85,0.88,policy_support
ECB_Backstop,EZ_MoneyMkt,90,0.90,liquidity
ECB_Backstop,IT_Sovereign,80,0.85,policy_support
DE_Banks,FR_Banks,80,0.90,funding
DE_Banks,DE_Sovereign,85,0.92,sovereign_exposure
DE_Banks,EZ_BondFunds,75,0.85,funding
FR_Banks,EZ_BondFunds,70,0.83,funding
FR_Banks,IT_Banks,65,0.80,interbank
IT_Banks,IT_Sovereign,75,0.88,sovereign_exposure
IT_Banks,ES_Banks,60,0.78,interbank
ES_Banks,ES_Sovereign,65,0.82,sovereign_exposure
EZ_BondFunds,IT_Sovereign,70,0.82,market_exposure
EZ_BondFunds,ES_Sovereign,65,0.80,market_exposure
EZ_BondFunds,EZ_PrivCredit,60,0.78,market_exposure
EZ_MoneyMkt,DE_Banks,70,0.85,funding
EZ_MoneyMkt,EZ_BondFunds,65,0.80,liquidity
EZ_PrivCredit,EZ_CRE,60,0.78,credit_supply
US_Rates,EZ_BondFunds,75,0.80,market_price
US_Rates,EZ_MoneyMkt,70,0.78,market_price
ECB_Backstop,EZ_Periphery,65,0.82,bridge
Germany,France,85,0.92,regional_link
Germany,Netherlands,80,0.90,regional_link
France,Italy,70,0.82,regional_link
France,Spain,68,0.80,regional_link
Italy,EZ_Periphery,65,0.78,regional_link
Spain,EZ_Periphery,62,0.76,regional_link
Netherlands,Ext_Markets,70,0.83,regional_link
Ext_Markets,Germany,65,0.80,regional_link
DE_Sovereign,Italy,58,0.78,bridge
