id,type,space,cluster,supply,demand,capacity,fin_capacity,econ_output
ECB_Backstop,producer,sector,Policy,100,20,110,100,90
US_Rates,producer,sector,External,80,15,90,70,85
DE_Banks,hub,sector,Banking,85,70,120,95,88
FR_Banks,hub,sector,Banking,75,65,105,85,80
IT_Banks,hub,sector,Banking,60,72,90,70,65
ES_Banks,transit,sector,Banking,55,62,85,65,60
EZ_BondFunds,hub,sector,NBFI,70,65,100,80,75
EZ_MoneyMkt,transit,sector,NBFI,60,58,85,70,68
EZ_PrivCredit,transit,sector,NBFI,55,60,80,65,62
EZ_CRE,consumer,sector,RealEstate,45,58,75,55,52
IT_Sovereign,hub,sector,Sovereign,65,75,95,70,68
ES_Sovereign,transit,sector,Sovereign,55,65,80,60,58
DE_Sovereign,producer,sector,Sovereign,80,50,105,85,82
Germany,hub,regional,Country,88,72,115,90,92
France,hub,regional,Country,78,68,105,82,85
Italy,consumer,regional,Country,62,80,88,65,68
Spain,consumer,regional,Country,58,72,82,60,62
Netherlands,transit,regional,Country,65,55,95,75,78
EZ_Periphery,consumer,regional,Country,42,62,70,48,45
Ext_Markets,transit,regional,External,72,58,100,75,80
