source,target,capacity,strength,type
DE_NODE,FR_NODE,90,0.95,core_alliance
DE_NODE,NL_NODE,80,0.92,core_alliance
DE_NODE,BE_NODE,75,0.90,core_alliance
DE_NODE,AT_NODE,70,0.88,core_alliance
DE_NODE,PL_NODE,65,0.82,eastward
DE_NODE,CZ_NODE,60,0.80,eastward
FR_NODE,BE_NODE,75,0.90,core_alliance
FR_NODE,IT_NODE,70,0.85,south_bridge
FR_NODE,ES_NODE,65,0.83,south_bridge
FR_NODE,CH_NODE,60,0.88,bilateral
IT_NODE,GR_NODE,55,0.75,south_corridor
IT_NODE,AT_NODE,60,0.82,bilateral
ES_NODE,PT_NODE,65,0.88,iberian
PL_NODE,CZ_NODE,60,0.85,eastward
PL_NODE,SK_NODE,55,0.82,eastward
PL_NODE,HU_NODE,50,0.78,eastward
CZ_NODE,SK_NODE,60,0.87,eastward
HU_NODE,RO_NODE,55,0.75,eastward
HU_NODE,SK_NODE,50,0.80,eastward
SE_NODE,DK_NODE,70,0.90,nordic
SE_NODE,FI_NODE,65,0.88,nordic
DK_NODE,DE_NODE,60,0.85,nordic_core
NO_NODE,SE_NODE,65,0.87,nordic
UK_NODE,DE_NODE,70,0.80,channel
UK_NODE,FR_NODE,65,0.78,channel
UK_NODE,NL_NODE,60,0.82,channel
CH_NODE,AT_NODE,55,0.85,bilateral
GR_NODE,RO_NODE,40,0.65,southeast
BE_NODE,NL_NODE,70,0.92,benelux
