source,target,capacity,strength,type
SAT_Power,SAT_Thermal,100,0.70,intra
SAT_Power,SAT_Attitude,100,0.65,intra
SAT_Power,SAT_Comm,100,0.60,intra
SAT_OBC,SAT_Power,100,0.55,intra
SAT_OBC,SAT_Attitude,100,0.60,intra
SAT_OBC,SAT_Comm,100,0.60,intra
SAT_Thermal,SAT_Attitude,100,0.45,intra
GND_Antenna,GND_Network,100,0.65,intra
GND_Network,GND_Processing,100,0.70,intra
GND_Processing,GND_Storage,100,0.50,intra
PIPE_Build,PIPE_Deploy,100,0.60,intra
PIPE_Security,PIPE_Deploy,100,0.55,intra
PIPE_Deploy,PIPE_Monitor,100,0.65,intra
SAT_Comm,GND_Antenna,100,0.75,bridge
GND_Processing,PIPE_Monitor,100,0.60,bridge
PIPE_Deploy,GND_Processing,100,0.70,bridge
PIPE_Monitor,SAT_OBC,100,0.50,bridge
